RF00001_1;URS0000435171
RF00001_81;URS00006F51C3
RF00001_82;URS00006825AD
RF00001_83;URS00003B0CDF
RF00001_84;URS00006BCA96
RF00001_85;URS0000719D00
RF00001_86;URS00007087D0
RF00001_87;URS000063F3C6
RF00001_88;URS000056367F
RF00001_89;URS00006A4CA5
RF00001_90;URS00006A4167 
RF00001_91;URS00006980FD
RF00001_92;URS00006FB68E
RF00001_93;URS000233297E
RF00001_94;URS000063FA65
RF00001_95;URS00007135E5
RF00001_96;URS0002327D23
RF00001_97;URS00007215D3
RF00001_98;URS0000525CEB
RF00001_99;URS00004C521B
RF00001_100;URS00006DBE39
RF00001_101;URS000232E310
RF00001_102;URS00023191E0 
RF00001_103;URS000232736F
RF00001_104;URS0002312A5C
RF00001_105;URS000068C83C
RF00001_106;URS0002332DDD
RF00001_107;URS000071321C 
RF00001_108;URS000231268C
RF00001_109;URS000231F19C
RF00001_110;URS000232D9F4
RF00001_111;URS000067D431
RF00001_112;URS000231E5D8
RF00001_113;URS000071120C
RF00001_114;URS0000700A34
RF00001_115;URS00006A61A8 
RF00001_116;URS00006F4847
RF00001_117;URS000064985D
RF00001_118;URS00005FC559
RF00001_119;URS00001585BC
RF00001_120;URS00005F87DB
RF00001_121;URS0000698A29 
RF00001_122;URS000025E36D
RF00001_123;URS000024CC20
RF00001_124;URS00004769F9
RF00001_125;URS0000235851
RF00001_126;URS000057504B
RF00001_127;URS0000722275
RF00001_128;URS0000605DAD
RF00001_129;URS00006006ED
RF00001_130;URS00003502E7
RF00001_131;URS00005B6CEA
RF00001_132;URS000050B981 
RF00001_133;URS00003DA92B
RF00001_134;URS00000D6546
RF00001_135;URS000001E122
RF00001_136;URS000030F3D0
RF00001_137;URS000006C2B8 
RF00001_139;URS0000673291
RF00001_140;URS0000724B6A
RF00001_141;URS00006E2286
RF00001_142;URS00006AB2A1 
RF00001_143;URS000064A680
RF00001_144;URS000071037D
RF00001_145;URS000066469C
RF00001_146;URS00006E8C5F
RF00001_147;URS000054F16F
RF00001_148;URS000231C1FE
RF00001_149;URS000021A921 
RF00001_150;URS00006ED32B
RF00001_511;URS0000712C3A
RF00001_512;URS0000683B9E
RF00001_513;URS000062447A
RF00001_514;URS00006AE01D
RF00001_515;URS00006876FD
RF00004_874;URS00006DF862
RF00004_875;URS00001042F2
RF00004_876;URS00006FFD2F
RF00004_877;URS000062BFE9
RF00004_878;URS0000937B3F
RF00004_879;URS000072C92A
RF00004_880;URS000232D2DA
RF00004_881;URS00023193FE
RF00004_882;URS00006394F7
RF00004_883;URS000231B8C6
RF00004_884;URS00023230D8
RF00004_885;URS000232A830
RF00004_886;URS000069AC12
RF00004_887;URS00006715BC
RF00004_888;URS000068D29F
RF00004_889;URS0002332C49
RF00004_891;URS00006B44BE
RF00004_892;URS0000637164
RF00004_893;URS0000721BE4
RF00004_894;URS00006FF36E
RF00004_895;URS00006B7910
RF00004_896;URS00006BD63C
RF00004_897;URS00006D3CF1
RF00004_898;URS0000709C9B
RF00004_899;URS000231B87B
RF00004_900;URS000072976C 
RF00004_901;URS000071BDD2
RF00004_902;URS000231EC4F
RF00004_903;URS0000903C76
RF00004_904;URS00006359CF
RF00004_906;URS0000699A18
RF00004_907;URS000062712E
RF00004_908;URS00007060A0
RF00004_910;URS000063A832
RF00004_912;URS0002329E75
RF00004_914;URS00006FB88D
RF00004_915;URS00023265DC
RF00004_916;URS0000639017
RF00004_918;URS0000700868
RF00004_919;URS0000719705
RF00004_920;URS000028E59F
RF00004_921;URS000064A522 
RF00004_922;URS00006E77BD 
RF00004_923;URS000072A10E
RF00004_924;URS0000EFB07F 
RF00004_925;URS000065E182
RF00004_926;URS00009454E2
RF00004_927;URS00006F8CFE
RF00004_928;URS00006CAAE2
RF00004_929;URS0000651264
RF00004_931;URS000068F1C2
RF00004_932;URS000072DB6A
RF00004_933;URS00006A3EC0
RF00004_934;URS00006C7137
RF00004_935;URS000062FF43
RF00004_936;URS00006FCF9A
RF00004_937;URS0000900645
RF00004_938;URS000072155E
RF00004_939;URS00006CE5F8
RF00004_940;URS00006B17D7
RF00004_941;URS00007121E9
RF00004_942;URS0000726D97
RF00004_943;URS00006B9742
RF00004_944;URS0000649583
RF00004_945;URS00006CFAB8
RF00004_946;URS00006A82EA
RF00004_947;URS000096DB4D
RF00004_948;URS0000719740 
RF00004_949;URS00006CE979
RF00004_950;URS00006FFD4F
RF00004_951;URS00006355B9
RF00004_952;URS00006999CD
RF00004_953;URS00006E747C
RF00004_954;URS000068CC48
RF00004_955;URS000093E72F
RF00004_956;URS000068C544 
RF00004_957;URS00023292F3
RF00004_958;URS00006EB06B
RF00004_960;URS000071B4F3
RF00004_961;URS00006A21D2 
RF00004_962;URS0000623BEB
RF00004_963;URS000069F082
RF00004_964;URS0000624933
RF00004_965;URS000065F4A6
RF00004_966;URS0000699A10
RF00004_967;URS000063ADD5
RF00004_968;URS0000650EB2
RF00004_969;URS000069A59F
RF00004_970;URS00006806BA
RF00004_971;URS000097D0A1
RF00004_972;URS0000662702
RF00004_974;URS0000623C8E 
RF00004_975;URS00009743D5
RF00004_976;URS000231313D
RF00004_977;URS00006C8F4D
RF00004_978;URS000064A784
RF00004_979;URS000091D1C3
RF00004_980;URS0000724A86
RF00004_981;URS000072A672
RF00004_982;URS00006B2D6F
RF00004_983;URS00006DB9C9
RF00004_984;URS00006E31FD
RF00004_985;URS00006CB2C7
RF00004_986;URS000066BB64
RF00004_987;URS00006D6B87
RF00004_988;URS000065E53D
RF00004_989;URS00006AA9A6 
RF00004_990;URS00006E0D9B 
RF00004_991;URS00006B353D
RF00004_992;URS0000729D98
RF00004_993;URS000063DB98 
RF00004_995;URS00007074C6
RF00004_996;URS000063AB7D
RF00004_997;URS00006D012B
RF00004_998;URS0000689797
RF00004_999;URS00006AE7E7
RF00004_1000;URS00006761A8
RF00004_1001;URS00006DD3C6
RF00004_1002;URS00006420AC
RF00004_1003;URS0000649B1D 
RF00004_1004;URS000068AD90 
RF00004_1005;URS0000645D4A
RF00004_1006;URS000067B000
RF00004_1008;URS00006AF9BF
RF00004_1010;URS0000623EFD
RF00004_1011;URS000066F828
RF00004_1012;URS000071F781
RF00004_1013;URS000232CC98
RF00004_1014;URS00006A1ABE
RF00004_1015;URS00006C1403
RF00004_1016;URS00006870D4
RF00004_1019;URS0000659730
RF00004_1020;URS00002E4FDC
RF00004_1021;URS00002DA951 
RF00004_1022;URS00006A3E7F
RF00004_1023;URS000072E6A1
RF00004_1025;URS00006C1C11
RF00004_1026;URS000063B5AF
RF00004_1028;URS0000631436
RF00004_1029;URS000065FC0C
RF00004_1030;URS00000B9400
RF00004_1031;URS00006FE372
RF00004_1033;URS0000678C7C
RF00004_1034;URS000070745A
RF00004_1036;URS00006442B4
RF00004_1037;URS00006A9A55
RF00004_1038;URS00006830EC
RF00004_1039;URS0000660535
RF00004_1040;URS0000638573
RF00004_1042;URS000062BD2B
RF00005_1082;URS000231824D
RF00005_1083;URS000007BB17
RF00005_1084;URS0000030411
RF00005_1085;URS00004AA53C
RF00005_1086;URS000028E010
RF00005_1087;URS0000196C9D
RF00005_1088;URS00002827C5
RF00005_1089;URS0000603D74
RF00005_1090;URS00006160B1
RF00005_1091;URS000035C2A5
RF00005_1092;URS00000EFDEA
RF00005_1093;URS0000463FCC
RF00005_1094;URS0000084485
RF00005_1095;URS0000278404
RF00005_1096;URS00000CAECD
RF00005_1097;URS0000266ADF
RF00005_1098;URS0000483970
RF00005_1099;URS000023D74D
RF00005_1100;URS00000C2378
RF00005_1101;URS00003D6BB7
RF00005_1102;URS00005EE232
RF00005_1103;URS000035111F
RF00005_1104;URS00004F8696
RF00005_1105;URS0000460C7E
RF00005_1106;URS0000098F8D
RF00005_1107;URS00001D90D5
RF00005_1108;URS000054B6B4
RF00005_1109;URS0000472AB1
RF00005_1110;URS00001BD420
RF00005_1111;URS00000F8AD0
RF00005_1112;URS0000026A9D
RF00005_1113;URS00001127D9
RF00005_1114;URS00005EE9E0 
RF00005_1115;URS00004699F5
RF00005_1116;URS00003A8311
RF00005_1117;URS000029CCC5
RF00005_1118;URS00002B4CE5
RF00005_1119;URS000059D2BF
RF00005_1120;URS00006174C2
RF00005_1121;URS000061EA1A
RF00005_1122;URS00001AD596
RF00005_1123;URS00002064F6
RF00005_1124;URS0000120E41
RF00005_1125;URS0000161979
RF00005_1126;URS00004E86FE
RF00005_1127;URS00006020B7
RF00005_1128;URS0000420935
RF00005_1129;URS00002226C8
RF00005_1130;URS000032AF21
RF00005_1131;URS00001AD786
RF00005_1132;URS00000F616D
RF00005_1133;URS00005DB87D
RF00005_1134;URS0000508ACC
RF00005_1135;URS00002085AD
RF00005_1136;URS000038D8D3
RF00005_1137;URS000007A90A 
RF00005_1138;URS00000DACAA 
RF00005_1139;URS000047A816 
RF00005_1140;URS00001070BD
RF00005_1141;URS0000279471
RF00005_1142;URS000013B42D
RF00005_1143;URS000034E9D0
RF00005_1144;URS000047C19A
RF00005_1145;URS00000FB60D
RF00005_1146;URS0000325038
RF00005_1147;URS000022D618
RF00005_1148;URS000038F164
RF00005_1149;URS00000EAF0F
RF00005_1150;URS00002B35F0
RF00005_1151;URS000013E862
RF00005_1152;URS0000506637
RF00005_1153;URS00005F4519
RF00005_1154;URS00006DCEEB
RF00005_1155;URS00002D76C5
RF00005_1156;URS0000035137
RF00005_1157;URS000034D324
RF00005_1158;URS000021137D
RF00005_1159;URS000029CAB1
RF00005_1160;URS0000259585
RF00005_1161;URS00005BD77B
RF00005_1162;URS000004450C
RF00005_1163;URS000041810D
RF00005_1164;URS00002BF6BC
RF00005_1165;URS00001AF604
RF00005_1166;URS000034BE68
RF00005_1167;URS00003F95C8
RF00005_1168;URS00003DD437
RF00005_1169;URS00001063D8
RF00005_1170;URS0000235EB0
RF00005_1171;URS0000425B5A
RF00005_1172;URS000023705B
RF00005_1173;URS000023FFDE
RF00005_1174;URS000057CE98
RF00005_1175;URS00002A2D21
RF00005_1176;URS00001FC15F
RF00005_1177;URS00002F2DC3
RF00005_1178;URS0000413D37
RF00005_1179;URS000012396D
RF00005_1180;URS00004206E2
RF00005_1181;URS000022F2BB
RF00005_1182;URS0000199048
RF00005_1183;URS000067DD55
RF00005_1184;URS00006745C7
RF00005_1185;URS00005BBF03
RF00005_1186;URS00007080D2
RF00005_1187;URS0000700CDE
RF00005_1188;URS000032041E
RF00005_1189;URS000051337D
RF00005_1190;URS00000BDCC3
RF00005_1191;URS00000C08EB
RF00005_1192;URS000043B553
RF00005_1193;URS00001E7F43
RF00005_1194;URS0000484C33
RF00005_1195;URS00001F2D1D 
RF00005_1196;URS0000069937 
RF00005_1197;URS000048C42D
RF00005_1198;URS00003BE008
RF00005_1199;URS00005A1717 
RF00005_1200;URS000025EA12
RF00005_1201;URS000038137C
RF00005_1202;URS00000DA4B4 
RF00005_1203;URS0000192286
RF00005_1204;URS000045B5C4
RF00005_1205;URS00000E2E6D
RF00005_1206;URS00000FCDE9
RF00005_1207;URS000019B78E
RF00005_1208;URS000002176F
RF00005_1209;URS000056BD99
RF00005_1210;URS00002D2D8F
RF00005_1211;URS000018E119
RF00005_1212;URS00000F3F5E 
RF00005_1213;URS000068FFB5
RF00005_1214;URS000025082B
RF00005_1215;URS00003E8921
RF00005_1216;URS00005983A6
RF00005_1217;URS000006A0AE
RF00005_1218;URS0000266AA4
RF00005_1219;URS000001F80D
RF00005_1220;URS000013E0A4
RF00005_1221;URS0000477C66
RF00005_1222;URS000044BDB3
RF00005_1223;URS0000457BCC
RF00005_1224;URS00002C35D8
RF00005_1225;URS000037789E
RF00005_1226;URS0000197CAC
RF00005_1227;URS00005D4293
RF00005_1228;URS000046D90D
RF00005_1229;URS000010BCC0
RF00005_1230;URS0000405E7D
RF00005_1231;URS00003ACBA8
RF00010_2369;URS000068D3FC
RF00010_2370;URS0002335235
RF00010_2371;URS000067DE56
RF00010_2372;URS000067203C
RF00010_2373;URS000063E366
RF00010_2374;URS00006620CC
RF00010_2375;URS00006E4749
RF00010_2376;URS0000703CAD
RF00010_2377;URS000063E011
RF00010_2378;URS00006B48EA
RF00010_2379;URS0000723487
RF00010_2380;URS000232B760
RF00010_2381;URS00006A0748
RF00010_2382;URS00006D120E
RF00010_2383;URS000068B7BF
RF00010_2384;URS00006FECE7
RF00010_2385;URS00006F8886
RF00010_2386;URS0000692A2B
RF00010_2387;URS0000681A16
RF00010_2388;URS00001A5754
RF00010_2389;URS0000690ABA
RF00010_2390;URS0000625D13
RF00010_2391;URS000071AA41
RF00010_2392;URS00006EFD29
RF00010_2393;URS000069311B
RF00010_2394;URS00006F050A
RF00010_2395;URS0000689C9C
RF00010_2396;URS00009705AD
RF00010_2397;URS0000646EA5
RF00010_2398;URS00006A6749
RF00010_2399;URS00006626D0
RF00010_2400;URS000062E395
RF00010_2401;URS00006B138B 
RF00010_2402;URS0000624979
RF00010_2403;URS00006D6B45
RF00010_2404;URS000071C685
RF00010_2405;URS000065B08D
RF00010_2406;URS0000661029 
RF00010_2407;URS00006C22CB
RF00010_2408;URS0000700C52
RF00010_2409;URS0000680C91
RF00010_2410;URS000065C76F
RF00010_2411;URS0000691B53
RF00010_2412;URS00006FA091
RF00010_2414;URS00007146BA
RF00010_2415;URS00006E8018
RF00010_2416;URS00006AAD30
RF00010_2417;URS00006921AD
RF00010_2418;URS000064BE10
RF00010_2419;URS000065A80F
RF00010_2420;URS000066B94E
RF00010_2421;URS0000625A38
RF00010_2422;URS000231B2F2
RF00010_2423;URS0000676A1C
RF00010_2424;URS00023221F5
RF00010_2425;URS00006B374C
RF00010_2426;URS00006A0904 
RF00010_2427;URS0000715A29
RF00010_2428;URS00006B2654
RF00010_2429;URS00006C34D9
RF00010_2430;URS00006C76E7
RF00010_2431;URS0000698159
RF00010_2432;URS00006B425C
RF00010_2433;URS0002331026
RF00010_2434;URS000059411A 
RF00010_2436;URS00004847E4 
RF00010_2437;URS00006A33CB
RF00010_2438;URS00023172E4
RF00010_2439;URS000068A6E6
RF00010_2440;URS000066F81D
RF00010_2441;URS00006EA0A8
RF00010_2442;URS0000688DFE
RF00010_2443;URS00006E66D8
RF00010_2444;URS00006BEEEE
RF00010_2445;URS000066C4E9
RF00010_2446;URS000065FB79
RF00010_2447;URS00006D2F76
RF00010_2448;URS0000639B3A
RF00010_2449;URS0000649F9C
RF00010_2451;URS000065DADC
RF00010_2452;URS0000821C7E
RF00010_2453;URS0000336790
RF00010_2454;URS000009D9EA
RF00010_2455;URS0000637B30
RF00010_2456;URS0000639305
RF00010_2458;URS0000626B2B
RF00010_2459;URS00000BCC20
RF00010_2461;URS00006B6B32
RF00010_2462;URS00006FC30B
RF00010_2463;URS0000678CC2
RF00010_2464;URS000070A847
RF00010_2465;URS000067BFCB
RF00010_2466;URS00006AB0A8
RF00010_2467;URS000063BC14
RF00010_2468;URS00006DAB81 
RF00010_2469;URS00006E8278
RF00010_2470;URS00004E931F
RF00010_2471;URS0000716E70 
RF00010_2472;URS00006A1892 
RF00010_2473;URS00006BD4D1
RF00010_2474;URS000023163C
RF00010_2475;URS000070D976
RF00010_2476;URS00006C47E5
RF00010_2477;URS00006C551B
RF00010_2478;URS00006D8FAB 
RF00010_2479;URS000029CB58
RF00010_2481;URS00004704CB
RF00010_2482;URS0000351F63
RF00010_2483;URS00003A4626
RF00010_2484;URS000232669D 
RF00010_2485;URS00005172F2
RF00010_2486;URS000232E0EB 
RF00010_2487;URS0002315D84 
RF00010_2488;URS0002316831
RF00010_2489;URS0002334820
RF00010_2490;URS000233088F
RF00010_2491;URS0002332268
RF00010_2492;URS00006A831A
RF00010_2494;URS0000638817
RF00010_2495;URS00006A8DBF
RF00010_2496;URS00007050AD
RF00010_2497;URS000071A580
RF00010_2498;URS000071BF83
RF00010_2499;URS00005EAE0B
RF00010_2501;URS00006693CF
RF00010_2502;URS00006BF92D
RF00010_2504;URS00006BA4F3
RF00010_2505;URS00007181AD
RF00010_2506;URS0000666387
RF00010_2507;URS0000683C3A
RF00010_2508;URS000069F770
RF00010_2509;URS00006D2252
RF00010_2511;URS0000654232
RF00010_2512;URS00006F6BBB
RF00010_2513;URS00006F1C42
RF00010_2514;URS00006C921B
RF00010_2515;URS000072E2F3
RF00010_2516;URS000066A112
RF00010_2517;URS00006EDFF4 
RF00010_2518;URS000071490F
RF00010_2519;URS0000658B21
RF00010_2520;URS0000638339
RF00010_2521;URS00006EB939
RF00010_2522;URS000071BC84
RF00010_2523;URS0000699AA0
RF00010_2524;URS00006FFA70
RF00010_2525;URS00006E5D4A
RF00010_2526;URS000066DCB9
RF00010_2527;URS0000402CDB
RF00010_2528;URS00006DC7D7
RF00015_3182;URS0000717BCB 
RF00015_3183;URS0000580B01
RF00015_3184;URS00007091D3
RF00015_3185;URS00006D8450 
RF00015_3187;URS000231B409
RF00015_3188;URS000068F06C
RF00015_3189;URS00006C6D08
RF00015_3190;URS00007176B5
RF00015_3193;URS000091DD4D
RF00015_3194;URS0002316BFA
RF00015_3195;URS0000149178
RF00015_3196;URS000097323F
RF00015_3197;URS000232F8C2
RF00015_3198;URS000062A6E2
RF00015_3199;URS000067F042
RF00015_3200;URS00006400B4
RF00015_3201;URS00006F52DF
RF00015_3202;URS0000629EB6
RF00015_3203;URS0000714718
RF00015_3205;URS00006DC541
RF00015_3206;URS000231AF9A
RF00015_3207;URS0000720CEC
RF00015_3208;URS0000637DAF
RF00015_3209;URS00006C35A2
RF00015_3212;URS00006F3846
RF00015_3213;URS000231D878
RF00015_3214;URS000071BE61
RF00015_3215;URS00006EBCC7
RF00015_3217;URS000066EAA8
RF00015_3219;URS000066E721
RF00015_3220;URS000069390C
RF00015_3221;URS00006A0D00
RF00015_3222;URS0000647647
RF00015_3223;URS0000242C07
RF00015_3224;URS00006505B1
RF00015_3225;URS000071CB47
RF00015_3226;URS00006C0706
RF00015_3227;URS0000682441
RF00015_3228;URS000065D3A2
RF00015_3229;URS000070F5CA
RF00015_3231;URS0000710FBE
RF00015_3232;URS00006AFC67
RF00015_3233;URS0000711A4B
RF00015_3234;URS00006A4BF4
RF00015_3235;URS00006E5BE6
RF00015_3236;URS00009546FD
RF00015_3238;URS00023140E8 
RF00015_3239;URS000066F214
RF00015_3240;URS000069E9C7
RF00015_3241;URS0000639737
RF00015_3242;URS000233289D
RF00015_3243;URS0000729FCD
RF00015_3244;URS00006243D2
RF00015_3248;URS000069A4EF
RF00015_3249;URS00006744DD
RF00015_3251;URS00006F95CC
RF00015_3253;URS000063FB11 
RF00015_3254;URS000096F450
RF00015_3255;URS000067BCB2
RF00015_3257;URS000232D5C1
RF00015_3258;URS00006B5F4E
RF00015_3259;URS00006C5B89
RF00015_3260;URS00006466DA 
RF00015_3261;URS000070C085
RF00015_3262;URS00006DEDC1
RF00015_3263;URS00006B1842
RF00015_3264;URS00006D503B
RF00015_3266;URS0000EFA5C8
RF00015_3267;URS000062DBF4
RF00015_3268;URS000231733B
RF00015_3269;URS00009064BA
RF00015_3270;URS0000956FF5
RF00015_3271;URS000063BE8E
RF00015_3272;URS000063D100
RF00015_3274;URS000099099F
RF00015_3275;URS000071F518
RF00015_3276;URS00006CBB56 
RF00015_3278;URS00006A5D06
RF00015_3279;URS00009478C0
RF00015_3280;URS00006F1804
RF00015_3281;URS0000624696
RF00015_3282;URS00006CE70A
RF00015_3283;URS00006B5664
RF00015_3284;URS00006E9022
RF00015_3285;URS000231AE6C
RF00015_3286;URS000070A8B5 
RF00015_3287;URS000071BA97
RF00015_3288;URS00023319BF
RF00015_3289;URS000062BA96
RF00015_3290;URS000231E0FA
RF00015_3291;URS00006FCE61 
RF00015_3292;URS00006D18E0
RF00015_3293;URS00006EA2F2
RF00015_3294;URS00006A6752
RF00015_3295;URS0000628784
RF00015_3296;URS00006E1184
RF00015_3297;URS0002329AA4 
RF00015_3298;URS0000690CE1
RF00015_3299;URS0000635CD7
RF00015_3301;URS000232F2A9
RF00015_3302;URS000070B27B
RF00015_3304;URS000068EA48
RF00015_3306;URS000070C2BF
RF00015_3307;URS00006C0996
RF00015_3309;URS0000718468
RF00015_3310;URS00023182C8 
RF00015_3311;URS00007036D2
RF00015_3313;URS000072F253
RF00015_3314;URS0000669F18
RF00015_3315;URS000068759D
RF00015_3317;URS0000701AF9
RF00015_3318;URS000071E417
RF00015_3319;URS00006B9659
RF00015_3320;URS000072A327
RF00015_3322;URS00006385D8
RF00015_3323;URS0000623548
RF00015_3324;URS0000465848 
RF00015_3325;URS00007287F7 
RF00015_3327;URS0000675AF9
RF00015_3328;URS00006B3B6D
RF00015_3329;URS000069BAFA
RF00015_3330;URS00007B9A06
RF00015_3332;URS0002332AE4
RF00015_3333;URS000072052B
RF00015_3334;URS00006B353A
RF00015_3335;URS00006BCFAB
RF00015_3336;URS0000677B69
RF00015_3337;URS000063EA55
RF00015_3338;URS00006C485C
RF00015_3339;URS0000679DED
RF00015_3340;URS00006578F3
RF00015_3341;URS00000DF010
RF00015_3342;URS000064A0C5
RF00015_3343;URS0000660B13
RF00015_3346;URS00023173D9
RF00015_3348;URS0002333796
RF00015_3350;URS0000653BD7
RF00015_3351;URS000065B7A7
RF00020_3603;URS000046DA4B
RF00020_3604;URS0000302092
RF00020_3605;URS000231DBC2
RF00020_3606;URS00006FCEB3
RF00020_3607;URS000093E167 
RF00020_3608;URS00006A2B3D
RF00020_3609;URS00006966E3
RF00020_3610;URS000065C0DF
RF00020_3612;URS0000721247
RF00020_3613;URS0002334AD1
RF00020_3614;URS000070AFAB 
RF00020_3615;URS0000694D77
RF00020_3616;URS000099F63B
RF00020_3617;URS00023129F3
RF00020_3618;URS0000687B1E
RF00020_3619;URS0000721BF6
RF00020_3620;URS0000EFAE22
RF00020_3621;URS00006EDFA4
RF00020_3622;URS000069BEF4
RF00020_3623;URS00006463A8
RF00020_3624;URS000069EA59
RF00020_3625;URS0000661028
RF00020_3626;URS00006BDEB3 
RF00020_3627;URS000062B166
RF00020_3628;URS0000697B9A
RF00020_3629;URS00006EB92B
RF00020_3630;URS0000997889
RF00020_3631;URS00006BFB40
RF00020_3632;URS0000657FBE
RF00020_3633;URS0000606F30
RF00020_3634;URS000071E35B
RF00020_3635;URS000066D99C
RF00020_3636;URS00006DBAB9
RF00020_3637;URS000066C611
RF00020_3638;URS0002333148
RF00020_3639;URS0002327BC9
RF00020_3641;URS00006DE19C
RF00020_3642;URS00006CAF95
RF00020_3643;URS00006649B0
RF00020_3644;URS0000EF7CBD
RF00020_3645;URS00005ABEC2
RF00020_3646;URS00006EA140
RF00020_3647;URS0000634474
RF00020_3648;URS00006CB367
RF00020_3649;URS0000EFAF44
RF00020_3650;URS000095E9A0
RF00020_3651;URS000068EAA2
RF00020_3652;URS000070AE71
RF00020_3653;URS000096DE42
RF00020_3654;URS00023347D2
RF00020_3655;URS0000EFACEF
RF00020_3656;URS000066A66C
RF00020_3657;URS000231B138
RF00020_3658;URS000094B9F8
RF00020_3659;URS00006F563C
RF00020_3660;URS0002319964
RF00020_3661;URS00006EDB14
RF00020_3662;URS000232E74A
RF00020_3663;URS0002312691
RF00020_3665;URS00006A2E00
RF00020_3666;URS000062B7B5 
RF00020_3667;URS00006C329A
RF00020_3668;URS00009A3531
RF00020_3669;URS000069D57A
RF00020_3670;URS00006503B1
RF00020_3671;URS000063FDF7
RF00020_3672;URS00023239DF
RF00020_3673;URS00006F4DBF
RF00020_3674;URS0000660391
RF00020_3675;URS00023259DC
RF00020_3676;URS0000628E99
RF00020_3677;URS000067A7E3
RF00020_3678;URS0000702F4B
RF00020_3679;URS00006F5B29
RF00020_3680;URS0002327966 
RF00020_3681;URS00023182E3
RF00020_3682;URS000065347C
RF00020_3683;URS000069192E
RF00020_3684;URS00006A624F
RF00020_3685;URS0000629E90
RF00020_3686;URS0000636014
RF00020_3687;URS0000695366
RF00020_3688;URS00006E95F0
RF00020_3689;URS0000640F03
RF00020_3690;URS00023197D5
RF00020_3691;URS00023263C7
RF00020_3692;URS00009ABB4C
RF00020_3693;URS0000688FF7
RF00020_3694;URS0002332A48
RF00020_3695;URS0002323C66
RF00020_3696;URS0002311A7B
RF00020_3697;URS0000EFAA95
RF00020_3698;URS00006E08D7
RF00020_3699;URS0000EFA0ED 
RF00020_3701;URS0002331F3F
RF00020_3702;URS000090A1B1
RF00020_3703;URS0000EFB258
RF00020_3704;URS00006C34E3
RF00020_3705;URS0002330113 
RF00020_3706;URS0002312429
RF00020_3707;URS00006F6D04
RF00020_3708;URS00006BE6A1
RF00020_3709;URS0000676B2B
RF00020_3710;URS00006F2860
RF00020_3711;URS0000708500
RF00020_3712;URS00006FB636
RF00020_3713;URS0000684941
RF00020_3714;URS000069A4B1
RF00020_3715;URS00006469DF
RF00020_3716;URS00006C30FE
RF00020_3719;URS00006F9713
RF00020_3721;URS0000689C3F
RF00020_3722;URS0002322B46
RF00020_3723;URS00023200F2
RF00020_3724;URS0000EF9645
RF00020_3727;URS00006CE178
RF00020_3728;URS00006D109F
RF00020_3729;URS000069E569
RF00020_3731;URS0000636D9E
RF00020_3732;URS0002321714
RF00020_3733;URS0000721B69
RF00020_3734;URS000063C917
RF00020_3735;URS0000653F82
RF00020_3736;URS0000702422
RF00020_3739;URS000064D328
RF00020_3740;URS000068A723
RF00020_3741;URS0000720B87
RF00020_3742;URS00006C9FC9
RF00020_3743;URS000063EE0C
RF00020_3745;URS00023208A5
RF00020_3746;URS00006B028D
RF00020_3748;URS0002318616 
RF00020_3749;URS0002320DC5 
